source_dataset,split,row_count,synthetic_row_count,synthetic_row_rate
console_ai_it_helpdesk_synthetic_tickets,eval,108,0,0.0
console_ai_it_helpdesk_synthetic_tickets,train,392,0,0.0
prady06_customer_support_tickets,eval,12342,0,0.0
prady06_customer_support_tickets,train,49421,0,0.0
synthetic_hardening_v1,train,21341,21341,1.0
synthetic_support_tickets_v1,train,7,7,1.0
